title,abstract,cleaned_abstract
"The global, regional, and national burden attributable to low bone mineral density, 1990-2020: an analysis of a modifiable risk factor from the Global Burden of Disease Study 2021.","Fractures related to osteoporosis and low bone mineral density lead to substantial morbidity, mortality, and cost to individuals and health systems. Here we present the most up-to-date global, regional, and national estimates of the contribution of low bone mineral density to the burden of fractures from falls and additional categories of injuries from the Global Burden of Diseases, Injuries, and Risk Factors Study (GBD) 2021. The burden of low bone mineral density was estimated from 1990 to 2020 in terms of years lived with disability (YLDs), disability-adjusted life years (DALYs), and deaths, for individuals aged 40 years and older, using data from population-based studies from 48 countries or territories (169 unique sources). Mean standardised femoral neck bone mineral density values were estimated by GBD location, age, and sex by meta-regression. Based on a separate meta-analysis of population-based studies from nine countries (12 unique sources), we also estimated the pooled relative risk of fractures per unit decrease in bone mineral density (g/cm<sup>2</sup>). The population-attributable fraction for low bone mineral density was calculated by comparing the observed distributions of standardised femoral neck bone mineral density to an age-specific and sex-specific counterfactual distribution, defined as the 99th percentile of five rounds of the National Health and Nutrition Examination Survey in the USA, by 5-year age group and sex. Hospital and emergency department data were used to derive the incidence of fractures for six categories of injury (road injuries, other transport injuries, falls, non-venomous animal contact, exposure to mechanical forces, and physical interpersonal violence) using ICD codes. Deaths due to fractures were estimated as the proportion of in-hospital deaths due to the specified injury causes for which a fracture (nature of injury code) was more severe than the cause of injury code. YLDs and DALYs attributable to low bone mineral density by cause of injury were also determined according to previous GBD methods. In 2020, 8·32 million (95% UI 5·58-10·84) YLDs, 17·2 million (14·1-20·2) DALYs, and 477 000 (411 000-536 000) deaths were attributable to low bone mineral density globally in individuals aged 40 years and older. Between 1990 and 2020, global YLDs, DALYs, and deaths attributable to low bone mineral density increased by 91·8% (88·5-95·1), 89·8% (81·5-99·0), and 127·1% (108·5-144·5), respectively. Over this period, the age-standardised global rates of YLDs, DALYs, and deaths attributable to low bone mineral density showed modest decreases. In 2020, falls accounted for 76·2% (95% UI 74·2-78·3) of YLDs, 65·2% (62·9-67·6) of DALYs, and 71·0% (67·4-72·8) of deaths attributable to low bone mineral density, and road injuries largely accounted for the remaining amount: 12·4% (11·1-13·6) of YLDs, 24·6% (22·5-27·1) of DALYs, and 23·1% (21·6-26·2) of deaths. As a proportion of all fall-related burden, low bone mineral density accounted for 26·6% (23·2-28·7) of YLDs, 25·6% (22·1-27·4) of DALYs, and 40·6% (35·4-44·0) of deaths in 2020. Of all road injury-related burden, 12·6% (10·8-13·5) of YLDs, 6·3% (5·4-6·9) of DALYs, and 8·9% (7·6-9·6) of deaths were attributable to low bone mineral density. In men, road injuries accounted for the largest proportion of DALYs attributable to low bone mineral density in those aged 40-59 years and the largest proportion of deaths in those aged 40-64 years. In women, road injuries were the leading cause of DALYs attributable to low bone mineral density in those aged 40-44 years and the leading cause of deaths attributable to low bone mineral density in those aged 40-54 years. In older age groups among both men and women, falls were the leading cause of the burden attributable to low bone mineral density. Low bone mineral density is a crucial modifiable risk factor for fractures, which are an important cause of morbidity and mortality particularly in ageing populations. This analysis highlights low bone mineral density as a cause of health loss not just from falls, but also from road injuries. Gates Foundation.",fracture relate osteoporosis low bone mineral density lead substantial morbidity mortality cost individual health system present date global regional national estimate contribution low bone mineral density burden fracture fall additional category injury global burden disease injury risk factor study gbd burden low bone mineral density estimate term year live disability yld disability adjust life year dalys death individual age year old datum population base study country territory unique source mean standardise femoral neck bone mineral density value estimate gbd location age sex meta regression base separate meta analysis population base study country unique source estimate pool relative risk fracture unit decrease bone mineral density g cm population attributable fraction low bone mineral density calculate compare observed distribution standardised femoral neck bone mineral density age specific sex specific counterfactual distribution define percentile round national health nutrition examination survey usa year age group sex hospital emergency department datum derive incidence fracture category injury road injury transport injury fall non venomous animal contact exposure mechanical force physical interpersonal violence icd code death fracture estimate proportion hospital death specified injury cause fracture nature injury code severe cause injury code yld daly attributable low bone mineral density cause injury determine accord previous gbd method million ui yld million daly death attributable low bone mineral density globally individual age year old global yld daly death attributable low bone mineral density increase respectively period age standardise global rate yld daly death attributable low bone mineral density show modest decrease fall account ui yld daly death attributable low bone mineral density road injury largely account remain yld daly death proportion fall relate burden low bone mineral density account yld daly death road injury relate burden yld daly death attributable low bone mineral density man road injury account large proportion daly attributable low bone mineral density aged year large proportion death aged year woman road injury lead cause daly attributable low bone mineral density aged year lead cause death attributable low bone mineral density aged year old age group man woman fall lead cause burden attributable low bone mineral density low bone mineral density crucial modifiable risk factor fracture important cause morbidity mortality particularly age population analysis highlight low bone mineral density cause health loss fall road injury gate foundation
"Monitoring Survey of Cancer Risk Factors and Health System Response in Northeast Region, Mizoram.","The incidence of mortality and cumulative risk of developing cancer has been consistently high in the northeastern Region of India. Cancer is among the leading causes of death in Mizoram. This survey is an approach to implement a baseline monitoring system to drive us in understanding the linkage between exposures to risk factors, other noncommunicable diseases, and cancer incidence. A cross-sectional study was conducted among 2880 households from 60 primary sampling units who were selected using a multistage cluster sampling technique. The data were collected using household level interview, adult interview, cancer patient interview, and health facility interview. Nearly half of the respondents had a clustering of >3 cancer risk factors. The prevalence of current tobacco use (smoked or smokeless) was as high as 77.1%. Over 80% of the respondents consumed fermented products. Nearly half of the respondents were prehypertensive. 35.9% of the respondents were overweight. Nearly 41.3% of the respondents had central obesity. Around 42.8% of the respondents were aware of cancer screening. Less than 25% of the surveyed primary health cares provided cancer screening services. The high prevalence of cancer risk factors underscores the urgent need for comprehensive and sustained efforts toward prevention, education, and intervention. The challenges posed by a poor health system for cancer prevention are grave and demand urgent attention from all stakeholders involved in health-care delivery.",incidence mortality cumulative risk develop cancer consistently high northeastern region india cancer lead cause death mizoram survey approach implement baseline monitoring system drive understand linkage exposure risk factor noncommunicable disease cancer incidence cross sectional study conduct household primary sampling unit select multistage cluster sampling technique datum collect household level interview adult interview cancer patient interview health facility interview nearly half respondent clustering cancer risk factor prevalence current tobacco use smoked smokeless high respondent consume ferment product nearly half respondent prehypertensive respondent overweight nearly respondent central obesity respondent aware cancer screening survey primary health care provide cancer screening service high prevalence cancer risk factor underscore urgent need comprehensive sustained effort prevention education intervention challenge pose poor health system cancer prevention grave demand urgent attention stakeholder involve health care delivery
"Unveiling the Inflammatory Connections: Evaluating Anthropometric and Bio-impedance Indices as Prognostic Indicators of Inflammation through the Dietary Inflammatory Index among Government Doctors in Gujarat, India - A Cross-sectional Study.","Obesity and chronic inflammation increase metabolic disease risk. This study investigated associations between inflammation, body composition, and dietary patterns in Indian physicians. In this cross-sectional study, 550 government doctors aged 25-60 years in Gujarat, India, were recruited through multistage random sampling. Anthropometry, bioelectrical impedance analysis, and food frequency questionnaire data were collected. Dietary Inflammatory Index (DII) scores were calculated. High obesity prevalence was observed, with 48% classified as obese by body fat percentage (BF%) despite normal body mass index (BMI). Significant positive correlations were found between DII scores and BF% (r = 0.57, P < 0.001) and BMI (r = 0.27, P < 0.001). DII scores were negatively correlated with skeletal muscle percent (r = -0.45, P < 0.001). Higher body fat raised the odds of elevated DII by 1.121 (95% confidence interval [CI] 1.05-1.22, P < 0.001), while higher muscle percent lowered DII odds by 0.910 (95% CI 0.85-0.964, P < 0.001). Excess adiposity correlated with higher dietary inflammation among Indian physicians, contrasting with lower inflammation linked to greater muscle mass. Evaluating inflammation alongside body composition provides insights beyond BMI alone.",obesity chronic inflammation increase metabolic disease risk study investigate association inflammation body composition dietary pattern indian physician cross sectional study government doctor age year gujarat india recruit multistage random sampling anthropometry bioelectrical impedance analysis food frequency questionnaire datum collect dietary inflammatory index dii score calculate high obesity prevalence observe classify obese body fat percentage despite normal body mass index bmi significant positive correlation find dii score r p bmi r p dii score negatively correlate skeletal muscle percent r p high body fat raise odd elevated dii confidence interval ci p high muscle percent lower dii odd ci p excess adiposity correlate high dietary inflammation indian physician contrast low inflammation link great muscle mass evaluate inflammation alongside body composition provide insight bmi
Tackling the Growing Concern-Overweight and Obesity among Adolescents in India: An Analysis of National Institute of Nutrition Data.,"The escalating prevalence of overweight and obesity among Indian adolescents present a critical public health challenge requiring urgent attention and effective interventions. This study analyzes data from the National Institute of Nutrition's (NINs) Comprehensive National Nutrition Survey (CNNS) (2016-2018) to provide a comprehensive assessment of this issue. Recognizing the limitations of universal classifications, we utilize body mass index (BMI) cutoffs specifically adapted for the Indian/South East Asian population, offering a more accurate representation of weight status in this vulnerable group. Employing a quantitative approach with secondary data analysis, our study examines a nationally representative sample of adolescents aged 10-19 years. Anthropometric measurements of weight, height, and BMI were collected and analyzed using the specific Indian/South East Asian criteria to categorize participants. Statistical analyses, including Chi-squared tests and multivariate logistic regression, were conducted using SPSS to explore prevalence, trends, and associated factors. Findings reveal a statistically significant increase in overweight and obesity among Indian adolescents between 2006 and 2014 (<i>p</i> < 0.001), highlighting a concerning trend. Multivariate analysis identified male sex, urban residence, and increased screen time as significant predictors of overweight and obesity based on the adapted criteria. Conversely, higher parental education and engaging in moderate to increased physical activity were associated with decreased odds. These results underscore the need for targeted interventions addressing socioeconomic disparities, urban-rural differences, and lifestyle factors. Promoting physical activity, reducing screen time, and increasing parental awareness, particularly among urban male adolescents, are crucial. A comprehensive approach involving schools, communities, and public health policies is essential to combat this growing public health concern and foster a healthier future for Indian adolescents.",escalate prevalence overweight obesity indian adolescent present critical public health challenge require urgent attention effective intervention study analyze datum national institute nutrition nin comprehensive national nutrition survey cnns provide comprehensive assessment issue recognize limitation universal classification utilize body mass index bmi cutoff specifically adapt indian south east asian population offer accurate representation weight status vulnerable group employ quantitative approach secondary datum analysis study examine nationally representative sample adolescent age year anthropometric measurement weight height bmi collect analyze specific indian south east asian criterion categorize participant statistical analysis include chi square test multivariate logistic regression conduct spss explore prevalence trend associate factor finding reveal statistically significant increase overweight obesity indian adolescent highlight concern trend multivariate analysis identify male sex urban residence increase screen time significant predictor overweight obesity base adapt criterion conversely high parental education engage moderate increase physical activity associate decrease odd result underscore need target intervention address socioeconomic disparity urban rural difference lifestyle factor promote physical activity reduce screen time increase parental awareness particularly urban male adolescent crucial comprehensive approach involve school community public health policy essential combat grow public health concern foster healthy future indian adolescent
A Multispecialty Consensus on Individualized Treatment Strategies for Hypertension Phenotypes and Comorbidities.,"Hypertension (HTN) remains a leading contributor to global morbidity and mortality, often coexisting with major comorbidities such as diabetes, chronic kidney disease (CKD), coronary artery disease (CAD), heart failure (HF), and obesity. In India, a significant proportion of hypertensive individuals remain undiagnosed or inadequately treated. This multispecialty consensus provides comprehensive, evidence-based recommendations for individualized HTN management tailored to specific phenotypes and comorbidities. Developed through structured expert panel discussions and a review of international and national guidelines, the consensus emphasizes out-of-office blood pressure (BP) monitoring, phenotype recognition (e.g., white-coat, masked, nocturnal HTN), and early detection of target organ damage. The document outlines practical algorithms and a therapeutic wheel to guide antihypertensive therapy based on patient-specific factors, promoting use of angiotensin-converting enzyme inhibitors (ACEI), angiotensin receptor blockers (ARBs), calcium channel blockers (CCBs), beta-blockers (BB), and diuretics, as per clinical context. Special considerations are provided for managing HTN in young adults, patients with tachycardia, stroke, and respiratory disorders. The consensus also advocates for lifestyle modifications, treatment adherence, and multidisciplinary care to improve BP control and long-term outcomes. By promoting a holistic, patient-centered approach, this consensus aims to bridge gaps in clinical practice and standardize the management of HTN in diverse healthcare settings.",hypertension htn remain lead contributor global morbidity mortality coexist major comorbiditie diabetes chronic kidney disease ckd coronary artery disease cad heart failure hf obesity india significant proportion hypertensive individual remain undiagnosed inadequately treat multispecialty consensus provide comprehensive evidence base recommendation individualized htn management tailor specific phenotype comorbiditie develop structured expert panel discussion review international national guideline consensus emphasize office blood pressure bp monitoring phenotype recognition white coat mask nocturnal htn early detection target organ damage document outline practical algorithm therapeutic wheel guide antihypertensive therapy base patient specific factor promote use angiotensin convert enzyme inhibitor acei angiotensin receptor blocker arb calcium channel blocker ccbs beta blocker bb diuretic clinical context special consideration provide manage htn young adult patient tachycardia stroke respiratory disorder consensus advocate lifestyle modification treatment adherence multidisciplinary care improve bp control long term outcome promote holistic patient center approach consensus aim bridge gap clinical practice standardize management htn diverse healthcare setting
Prevalence of Hypertension in Young Adults in Punjab.,"India has shown dramatic increase in noncommunicable diseases (NCDs), so much so that about 70% of the overall mortality is estimated to be because of NCDs. Young adults <35 years of age constitute 65%, a significant section of Indian population, but there is paucity of studies exploring prevalence of HTN among young adults in India, especially in Punjab. So, the present study was conducted to know the prevalence of HTN among young adults in Punjab. This observational study was conducted as part of a global blood pressure (BP) screening program, after approval from Institutional Ethics Committee. Subjects of 18-80 years were included after verbal informed consent. Data obtained was analyzed as per the standard statistical method, and Chi-squared test was applied. A total of 24,685 participants completed the study including 43.5% young adults. The prevalence of HTN in young adults was 9.2 and 18.8% in older adults. About 71.8% hypertensive young adults were overweight or obese. Males demonstrated 16.7% prevalence of HTN as compared to 12.3% in females, whereas in young adults 28.4% females had HTN as compared to 26.6% males. Present study documents increase in prevalence of HTN among young adults and its association with overweight and obesity necessitating initiation of HTN prevention and control strategies, especially focused on young adults.",india show dramatic increase noncommunicable disease ncds overall mortality estimate ncds young adult year age constitute significant section indian population paucity study explore prevalence htn young adult india especially punjab present study conduct know prevalence htn young adult punjab observational study conduct global blood pressure bp screening program approval institutional ethic committee subject year include verbal inform consent datum obtain analyze standard statistical method chi square test apply total participant complete study include young adult prevalence htn young adult old adult hypertensive young adult overweight obese male demonstrate prevalence htn compare female young adult female htn compare male present study document increase prevalence htn young adult association overweight obesity necessitating initiation htn prevention control strategy especially focus young adult
Revised Diagnostic Criteria for Vascular Cognitive Impairment and Dementia-The VasCog-2-WSO Criteria.,"Several sets of diagnostic criteria have been proposed for vascular cognitive impairment and dementia (VCID). The International Society for Vascular Behavioural and Cognitive Disorders (VasCog) working group published comprehensive operationalized criteria in 2014. Considering subsequent advances in the field, a revision was needed. To update the VasCog criteria to achieve consensus on diagnosis of VCID. VasCog criteria and other published diagnostic guidelines, aided by literature review of recent developments in VCID, were used as reference points for an online Delphi survey (minimum 3 rounds, ≥75% threshold for agreement), including operationalization of criteria and guidance on potential biomarkers. Seventy international experts from diverse international regions were invited to participate in 2023. Three survey rounds included 49 to 54 participants that agreed on VasCog-2 diagnostic criteria for preclinical, mild, and major dementia levels of vascular cognitive impairment (under the overarching term VCID). Research guidelines, including the use of novel neuroimaging and fluid biomarkers, were also agreed on. The World Stroke Organization (WSO) endorsed the criteria, hence named VasCog-2-WSO. The VasCog-2-WSO criteria update the VasCog criteria for the diagnosis of VCID, providing operationalization and additional guidance on potential neuroimaging and fluid biomarkers. VasCog-2-WSO should provide an international standard for VCID diagnosis, facilitating diagnostic consistency among clinicians and researchers.",set diagnostic criterion propose vascular cognitive impairment dementia vcid international society vascular behavioural cognitive disorder vascog working group publish comprehensive operationalized criterion consider subsequent advance field revision need update vascog criterion achieve consensus diagnosis vcid vascog criterion publish diagnostic guideline aid literature review recent development vcid reference point online delphi survey minimum round threshold agreement include operationalization criterion guidance potential biomarker seventy international expert diverse international region invite participate survey round include participant agree diagnostic criterion preclinical mild major dementia level vascular cognitive impairment overarch term vcid research guideline include use novel neuroimaging fluid biomarker agree world stroke organization wso endorse criterion name wso wso criterion update vascog criterion diagnosis vcid provide operationalization additional guidance potential neuroimaging fluid biomarker wso provide international standard vcid diagnosis facilitate diagnostic consistency clinician researcher
Estimating the Burden of Sarcopenia in Adults With Type 2 Diabetes Mellitus: Implications for Metabolic Health.,"Background Sarcopenia, the progressive loss of muscle mass and strength, is a significant complication in type 2 diabetes mellitus (T2DM) that worsens insulin resistance and glycemic control. Techniques such as a bioimpedance analyzer, handgrip strength (HGS) tests, and gait speed assessments serve to assess sarcopenia. Aim The aim of this study was to determine the proportion of T2DM patients with sarcopenia (T2DMS+) compared with non-diabetic patients and assess the association between sarcopenia and obesity in T2DM patients. Materials and methods For this observational cross-sectional study, all diabetic and non-diabetic male and female patients in the age group of 18-60 years were recruited during their routine outpatient visits. Sarcopenia was assessed using a bioimpedance analyzer for muscle mass, a handgrip dynamometer for muscle strength, and the Short Physical Performance Battery (SPPB) score for physical performance. Observation and results This study compared the prevalence and impact of sarcopenia in T2DM patients and non-diabetic patients. The study population included 100 T2DM patients and 100 controls. The mean age of the T2DM group (T2DMG) was 47.79 ± 8.64 years, slightly higher than that of the control group (CG), which was 44.31 ± 9.56 years. The gender distribution was consistent, with 70% (n = 70) of female patients and 30% (n = 30) of male patients in both groups. The body mass index (BMI) was similar between the T2DMG (25.9 ± 4.91 kg/m²) and the CG (26.76 ± 5.84 kg/m², p = 0.10). Hemoglobin A1c (HbA1c) levels were markedly higher in the T2DMG (8.05 ± 1.47%) compared with the CG (5.52 ± 0.65%, p < 0.05). Sarcopenia was significantly more prevalent in the T2DM group (53%, n = 53/100) than in the control group (17%, n = 17/100) with an odds ratio of 5.54 (95% confidence interval (CI): 2.84-10.81, p < 0.001), and more frequent in obese diabetics (64.15%, n = 34/53) compared to non-obese diabetics (35.85%, n = 19/53) with an odds ratio of 3.41 (95% CI: 1.38-8.39, p = 0.0001). Compared with the non-sarcopenic T2DM patients (47%, n = 47), sarcopenic T2DM patients (53%, n = 53) were older (52 ± 7.61 years and 43.02 ± 7.17 years, respectively, p < 0.05) and had longer diabetes duration (8.45 ± 5.45 years, p < 0.05). The sarcopenic T2DM patients also had less appendicular lean mass (ALM) (18.5 ± 4.14 kg compared with 21.19 ± 3.95 kg, p < 0.0014), reduced HGS (14.97 ± 3.83 kg compared with 25.78 ± 4.34 kg, p < 0.05), lower SPPB scores (6.49 ± 1.4 compared with 10.06 ± 0.76, p < 0.05), and higher HbA1c (8.54 ± 1% compared with 7.5 ± 1.47%, p = 0.00037). Conclusion T2DM patients exhibited lower appendicular lean mass, muscle strength, and physical performance, and had significantly lower handgrip strength and SPPB scores than the non-sarcopenic T2DM patients. Further, sarcopenia was more pronounced in the older patients and those with a longer duration of diabetes.",background sarcopenia progressive loss muscle mass strength significant complication type diabetes mellitus dm worsen insulin resistance glycemic control technique bioimpedance analyzer handgrip strength hgs test gait speed assessment serve assess sarcopenia aim aim study determine proportion dm patient sarcopenia compare non diabetic patient assess association sarcopenia obesity dm patient material method observational cross sectional study diabetic non diabetic male female patient age group year recruit routine outpatient visit sarcopenia assess bioimpedance analyzer muscle mass handgrip dynamometer muscle strength short physical performance battery sppb score physical performance observation result study compare prevalence impact sarcopenia dm patient non diabetic patient study population include dm patient control mean age dm group year slightly high control group cg year gender distribution consistent n female patient n male patient group body mass index bmi similar kg cg kg p hemoglobin level markedly high compare cg p sarcopenia significantly prevalent dm group n control group n odd ratio confidence interval ci p frequent obese diabetic n compare non obese diabetic n odd ratio ci p compare non sarcopenic dm patient n sarcopenic dm patient n old year year respectively p long diabete duration year p sarcopenic dm patient appendicular lean mass alm kg compare kg p reduce hgs kg compare kg p low sppb score compare p high compare p conclusion dm patient exhibit low appendicular lean mass muscle strength physical performance significantly low handgrip strength sppb score non sarcopenic dm patient sarcopenia pronounced old patient long duration diabetes
Assessment of Serum Uric Acid Levels Among Gestational Diabetes Patients in Erbil City.,"Gestational diabetes mellitus (GDM) is a common obstetrical disorder with a significant impact on maternal and fetal well-being. This study aimed to assess serum uric acid levels in pregnant women with GDM and determine their diagnostic performance. A case-control study was conducted at Erbil Maternity Hospital and primary health care units from May to December 2024, involving 200 pregnant women (100 with GDM and 100 healthy controls). Sociodemographic, obstetric, dietary, and laboratory data were collected. Serum uric acid was measured using the uricase method, and its association with GDM was evaluated using receiver operating characteristic (ROC) curve analysis and multivariable logistic regression. Serum uric acid demonstrated excellent discriminative ability for GDM (area under the curve (AUC) = 0.940). The optimal cut-off value of 3.15 mg/dL yielded 90% sensitivity and 80% specificity. Women with uric acid ≥ 3.15 mg/dL had 122.8-fold higher odds of GDM (odds ratio (OR) = 122.8, 95% confidence interval (CI): 34.4-437.8, p < 0.001) after adjusting for age, body mass index (BMI), and gestational age; each 1 mg/dL increase was associated with a 30.7-fold increase in odds (OR = 30.7, 95% CI: 10.9-86.3, p < 0.001). Elevated uric acid was present in 90% of women with GDM compared to 11% of controls. This prevalence is higher than that reported in Egypt (54.7%) and India (74.7%). Higher BMI, grand multiparity, positive family history of diabetes, and reduced plant-based food intake were also significantly associated with GDM. Elevated serum uric acid is strongly associated with GDM, with a cut-off of 3.15 mg/dL providing high diagnostic accuracy. The prevalence observed was higher than in several international studies. Limitations include the facility-based design, lack of adjustment for diet and renal function in the analysis, and potential recall bias.",gestational diabete mellitus gdm common obstetrical disorder significant impact maternal fetal study aim assess serum uric acid level pregnant woman gdm determine diagnostic performance case control study conduct erbil maternity hospital primary health care unit december involve pregnant woman gdm healthy control sociodemographic obstetric dietary laboratory datum collect serum uric acid measure uricase method association gdm evaluate receiver operating characteristic roc curve analysis multivariable logistic regression serum uric acid demonstrate excellent discriminative ability gdm area curve auc optimal cut value mg dl yield sensitivity specificity woman uric acid mg dl fold high odd gdm odd ratio confidence interval ci p adjust age body mass index bmi gestational age mg dl increase associate fold increase odd ci p elevated uric acid present woman gdm compare control prevalence high report egypt india high bmi grand multiparity positive family history diabetes reduce plant base food intake significantly associate gdm elevated serum uric acid strongly associate gdm cut mg dl provide high diagnostic accuracy prevalence observe high international study limitation include facility base design lack adjustment diet renal function analysis potential recall bias
Efficacy and Safety of GLP-1 RAs in Children and Adolescents With Obesity or Type 2 Diabetes: A Systematic Review and Meta-Analysis.,"Obesity affects 1 in 5 children and adolescents, increasing the risk of type 2 diabetes (T2D). Glucagon-like peptide-1 receptor agonists (GLP-1 RAs) are among the few pharmacotherapy options available for this population, necessitating a comprehensive evaluation of efficacy and safety. To assess the efficacy and safety of GLP-1 RAs in children and adolescents (<18 years) with obesity, prediabetes, or T2D. A systematic search was conducted in PubMed, Embase, and the Cochrane Central Register of Controlled Trials (CENTRAL) for randomized clinical trials (RCTs) published from inception until February 28, 2025. Data analysis was completed from January 2025 to April 2025. RCTs comparing GLP-1 RAs to placebo in children and adolescents with obesity, overweight, prediabetes, or T2D with reported safety and efficacy data were included. Two reviewers independently extracted data on sample size, population, interventions, follow-up, and outcomes. Risk of bias was assessed using version 2 of the Cochrane risk of bias tool (RoB2). Efficacy outcomes (except lipids) were analyzed as estimated treatment differences, lipids as estimated treatment ratios, and safety via rate ratios. A random-effects inverse variance model was used for all outcomes. The primary efficacy outcomes were change in hemoglobin A1c (HbA1c) (in percentage points), fasting glucose (in milligrams per deciliter), body weight (in kilograms), body mass index (BMI, calculated as weight in kilograms divided by height in meters squared), BMI z scores or percentiles, BMI standard deviation score (SDS), lipid outcomes, and blood pressure. Exploratory efficacy outcomes included obstructive sleep apnea and metabolic dysfunction-associated steatohepatitis or metabolic dysfunction-associated steatotic liver disease. Safety outcomes included gastrointestinal adverse effects (GI AEs), infections, hepatobiliary disorders, suicidal ideation or behaviors, depression, hypoglycemia, and adverse event discontinuations. A total of 18 RCTs (11 in obesity, 6 in T2D, and 1 in prediabetes) with 1402 participants (838 GLP-1 RA users and 564 placebo) were included (mean [range] age, 13.7 [6-17] years; 831 female participants (59.3%); median [IQR] treatment duration, 0.51 [0.25-1.00] years). GLP-1 RAs significantly reduced HbA1c (-0.44%; 95% CI, -0.68% to -0.21%), fasting glucose (-9.92 mg/dL; 95% CI, -16.20 to -3.64), body weight (-3.02 kg; 95% CI, -4.98 to -1.06), BMI (-1.45; 95% CI, -2.40 to -0.49), BMI SDS (-0.20; 95% CI, -0.36 to -0.05), BMI percentile (-7.24%; 95% CI, -12.97% to -1.51%), and systolic blood pressure (-2.73 mm Hg; 95% CI, -4.04 to -1.43) and increased GI AE (log[rate ratio] [RR], 0.75). Other AEs, including suicidal ideation or behaviors, showed no significant differences. In this systematic review and meta-analysis of 18 trials, GLP-1 RAs significantly improved glycemic, weight, and cardiometabolic outcomes in children and adolescents with T2D or obesity. Available data over a relatively short follow-up suggested suicidal ideation or behaviors were not significantly different, although GI AEs warrant attention in long-term management.",obesity affect child adolescent increase risk type diabetes glucagon like receptor agonist ra pharmacotherapy option available population necessitate comprehensive evaluation efficacy safety assess efficacy safety ras child adolescent year obesity prediabete systematic search conduct pubmed embase cochrane central register control trial central randomize clinical trial rct publish inception february datum analysis complete january april rct compare ras placebo child adolescent obesity overweight prediabete report safety efficacy datum include reviewer independently extract datum sample size population intervention follow outcome risk bias assess version cochrane risk bias tool efficacy outcome lipid analyze estimate treatment difference lipid estimate treatment ratio safety rate ratio random effect inverse variance model outcome primary efficacy outcome change hemoglobin percentage point fast glucose milligram deciliter body weight kilogram body mass index bmi calculate weight kilogram divide height meter square bmi z score percentile bmi standard deviation score sds lipid outcome blood pressure exploratory efficacy outcome include obstructive sleep apnea metabolic dysfunction associate steatohepatitis metabolic dysfunction associate steatotic liver disease safety outcome include gastrointestinal adverse effect gi aes infection hepatobiliary disorder suicidal ideation behavior depression hypoglycemia adverse event discontinuation total rct obesity prediabete participant ra user placebo include mean range age year female participant median iqr treatment duration year ras significantly reduce ci fast glucose mg dl ci body weight kg ci bmi ci bmi sds ci bmi percentile ci systolic blood pressure mm hg ci increase gi ae ratio rr aes include suicidal ideation behavior show significant difference systematic review meta analysis trial ras significantly improve glycemic weight cardiometabolic outcome child adolescent obesity available datum relatively short follow suggest suicidal ideation behavior significantly different gi aes warrant attention long term management
